BestellungID;KundeID;VereinsPartnerID;Kaufdatum;Kreditkarte;GueltigBis;KKFirma;ProduktID;Menge;Preis;Rabatt
RS00004856;;;26.01.2025;;;;52;5;4,0;0,0
RS00004857;18;Morgenstern;26.01.2025;4890 7500 5544 5626 ;01/35;American;97;34;9,0;0,5
RS00004858;;;26.01.2025;4605 4804 4978 6164 ;01/26;JCB;61;27;8,0;2,5
RS00004859;404;GlückAuf;26.01.2025;;;;56;6;7,0;0,0
RS00004860;;;26.01.2025;3590 4403 3892 9373 ;09/32;JCB;48;48;4,5;2,5
RS00004861;;;26.01.2025;4683 5526 7914 6304 ;07/31;VISA;106;23;7,0;2,5
RS00004862;;;26.01.2025;3007 6476 8168 34;03/28;VISA;18;23;6,0;1,0
RS00004863;;;26.01.2025;3575 8692 9392 9797 ;09/28;VISA;2;46;4,0;3,0
RS00004864;;;26.01.2025;;;;93;8;2,3;3,0
RS00004865;;;26.01.2025;;;;82;40;5,0;2,5
RS00004866;136;Blaetterglueck;26.01.2025;4014 5860 5669 5224 312;09/26;VISA;98;27;4,5;2,5
RS00004867;;;26.01.2025;4136 1913 3325 7786 ;09/32;JCB;103;39;5,0;1,5
RS00004868;;;26.01.2025;;;;118;17;6,0;2,5
RS00004869;386;WochenendGLück;26.01.2025;;;;74;42;3,0;2,0
RS00004870;;;26.01.2025;2269 6139 9352 1550 ;02/33;JCB;81;20;2,0;3,0
RS00004871;;;26.01.2025;4303 2066 0964 0;02/32;VISA;24;26;3,0;2,0
RS00004872;54;;26.01.2025;2131 8812 1953 505;12/29;Diners;54;49;5,0;2,5
RS00004873;247;;26.01.2025;;;;74;13;3,0;0,5
RS00004874;;;26.01.2025;;;;113;17;4,5;2,5
RS00004875;;;26.01.2025;;;;16;13;3,0;0,0
RS00004876;;;26.01.2025;;;;74;25;3,0;2,0
RS00004877;;;26.01.2025;4302 8969 0119 2;11/28;Diners;69;21;2,0;2,5
RS00004878;;;26.01.2025;;;;122;26;2,0;0,0
RS00004879;;;26.01.2025;2221 9777 5174 6056 ;09/33;Maestro;94;35;4,0;2,0
RS00004880;;;26.01.2025;4871 9647 7423 3758 ;10/34;VISA;84;18;0,75;2,5
RS00004881;;;26.01.2025;;;;113;18;4,5;2,0
RS00004882;46;;26.01.2025;4727 2777 9159 6968 333;11/27;VISA;54;12;5,0;0,0
RS00004883;125;WochenendGLück;26.01.2025;;;;12;1;4,0;2,5
RS00004884;;;26.01.2025;;;;74;13;3,0;3,0
RS00004885;;;26.01.2025;;;;72;29;2,0;2,5
RS00004886;;;26.01.2025;3430 4603 0542 350;02/32;VISA;29;40;1,5;0,5
RS00004887;410;;26.01.2025;;;;89;28;0,8;0,0
RS00004888;161;Morgenstern;26.01.2025;;;;78;44;2,0;1,5
RS00004889;;;26.01.2025;;;;30;41;4,0;3,0
RS00004890;;;26.01.2025;3565 8492 7765 5867 ;09/29;JCB;97;12;9,0;1,0
RS00004891;99;WochenendGLück;26.01.2025;4165 2767 1227 8125 ;05/34;VISA;64;41;4,5;1,5
RS00004892;;;26.01.2025;3510 3573 2605 7602 ;06/30;VISA;46;27;8,0;1,5
RS00004893;139;;26.01.2025;3595 7879 9830 4718 ;11/28;VISA;6;25;7,0;3,0
RS00004894;325;GlückAuf;26.01.2025;;;;122;24;2,0;2,0
RS00004895;;;26.01.2025;2131 8878 8893 598;08/28;VISA;120;9;8,0;1,5
RS00004896;32;Blaetterglueck;26.01.2025;6759 3221 2722 ;10/31;VISA;124;34;3,0;2,0
RS00004897;;;26.01.2025;;;;99;34;3,8;3,0
RS00004898;250;GlückAuf;26.01.2025;;;;102;21;4,0;3,0
RS00004899;;;26.01.2025;1800 0594 1888 811;12/25;JCB;5;31;5,0;0,0
RS00004900;;;26.01.2025;;;;19;9;2,0;3,0
RS00004901;120;GlückAuf;26.01.2025;6011 5764 5149 4762 ;01/31;Maestro;82;48;5,0;0,0
RS00004902;11;;26.01.2025;6580 6607 4113 8784 ;06/29;VISA;32;45;5,0;3,0
RS00004903;;;26.01.2025;6759 0570 1933 ;08/26;JCB;24;28;3,0;3,0
RS00004904;161;Morgenstern;26.01.2025;3018 6936 9799 06;07/30;JCB;1;1;2,0;1,5
RS00004905;;;26.01.2025;6519 4374 0747 1544 ;07/33;Discover;15;9;4,5;3,0
RS00004906;;;26.01.2025;2131 5999 1684 892;01/26;VISA;108;2;8,0;2,5
RS00004907;;;26.01.2025;;;;6;17;7,0;1,0
RS00004908;;;26.01.2025;4739 3825 6960 7171 ;03/30;JCB;21;15;4,0;1,5
RS00004909;;;26.01.2025;;;;84;34;0,75;2,0
RS00004910;;;26.01.2025;;;;79;22;1,5;1,0
RS00004911;;;26.01.2025;;;;48;15;4,5;0,0
RS00004912;;;26.01.2025;;;;110;17;0,5;0,5
RS00004913;;;26.01.2025;4148 3312 7273 9953 485;05/32;Mastercard;80;15;4,0;1,5
RS00004914;387;;26.01.2025;;;;4;27;5,0;2,0
RS00004915;;;26.01.2025;4478 8211 0537 8172 ;04/31;JCB;83;27;0,8;2,5
RS00004916;23;Druff1848;26.01.2025;;;;84;7;0,75;2,0
RS00004917;299;;26.01.2025;;;;17;43;3,5;0,5
RS00004918;;;26.01.2025;;;;54;43;5,0;0,5
RS00004919;340;Abendröte;26.01.2025;3525 6086 4493 3988 ;06/31;American;107;18;8,0;2,5
RS00004920;;;26.01.2025;3561 2762 7381 1746 ;02/31;Discover;101;12;2,0;0,0
RS00004921;;;26.01.2025;;;;14;22;4,5;0,0
RS00004922;259;VolleRose;26.01.2025;;;;107;9;8,0;0,0
RS00004923;96;Morgenstern;26.01.2025;2131 5082 4714 055;07/27;JCB;97;14;9,0;3,0
RS00004924;350;;26.01.2025;4525 5744 4725 8;12/31;VISA;40;4;1,0;0,0
RS00004925;;;26.01.2025;5399 7767 8771 4313 ;05/31;Diners;121;41;4,0;1,0
RS00004926;;;26.01.2025;3519 2038 6039 5332 ;03/30;Diners;43;17;2,3;0,5
RS00004927;382;;26.01.2025;;;;59;26;3,0;0,5
RS00004928;;;26.01.2025;4237 9132 9274 6345 ;06/31;VISA;110;19;0,5;2,5
RS00004929;;;26.01.2025;;;;19;49;2,0;3,0
RS00004930;163;;26.01.2025;2131 4244 4582 582;02/27;VISA;68;5;6,0;1,0
RS00004931;;;26.01.2025;;;;21;5;4,0;0,0
RS00004932;;;26.01.2025;4705 8890 7941 8154 ;03/30;Mastercard;7;32;8,0;1,0
RS00004933;;;26.01.2025;;;;80;47;4,0;2,5
RS00004934;;;26.01.2025;3774 1218 6316 438;10/33;Mastercard;71;11;4,0;1,0
RS00004935;355;GlückAuf;26.01.2025;;;;116;36;3,0;0,0
RS00004936;;;26.01.2025;2669 0206 5754 2201 ;01/29;VISA;59;35;3,0;2,5
RS00004937;;;26.01.2025;;;;49;14;3,8;2,5
RS00004938;;;26.01.2025;4862 9859 6004 5;06/27;VISA;104;12;5,0;2,0
RS00004939;341;Blaetterglueck;26.01.2025;4608 9978 6956 1;11/28;VISA;62;19;4,0;1,5
RS00004940;;;26.01.2025;5762 9407 7234 ;11/26;JCB;11;32;8,0;1,5
RS00004941;;;26.01.2025;3037 5443 9274 13;05/35;Discover;68;17;6,0;1,5
RS00004942;;;26.01.2025;5267 6832 6960 2512 ;08/26;JCB;78;11;2,0;3,0
RS00004943;;;26.01.2025;3504 6886 2758 9580 ;01/31;Mastercard;46;36;8,0;1,5
RS00004944;;;26.01.2025;1800 6914 2212 767;10/31;JCB;22;18;2,0;2,0
RS00004945;;;26.01.2025;;;;28;45;2,0;1,5
RS00004946;162;Blaetterglueck;26.01.2025;4554 5701 3056 7468 ;08/34;VISA;35;35;1,0;1,0
RS00004947;81;GlückAuf;26.01.2025;;;;91;5;1,2;1,5
RS00004948;;;26.01.2025;4081 0264 4112 5712 ;01/35;Diners;113;9;4,5;2,5
RS00004949;;;26.01.2025;6522 1523 9676 5609 ;09/31;Diners;94;25;4,0;1,5
RS00004950;;;26.01.2025;6759 2102 4443 ;01/32;VISA;110;20;0,5;2,5
RS00004951;140;Druff1848;26.01.2025;;;;62;20;4,0;1,0
RS00004952;;;26.01.2025;;;;47;40;9,0;2,0
RS00004953;;;26.01.2025;;;;6;22;7,0;0,0
RS00004954;260;;26.01.2025;;;;7;41;8,0;2,5
RS00004955;;;26.01.2025;3006 0427 6361 45;08/32;Mastercard;41;12;1,2;0,5
RS00004956;;;26.01.2025;3428 5523 6481 770;06/27;American;72;10;2,0;0,0
RS00004957;;;26.01.2025;;;;89;40;0,8;1,5
RS00004958;268;WochenendGLück;26.01.2025;6011 0605 1299 6081 ;09/29;VISA;83;25;0,8;0,5
RS00004959;200;Morgenstern;26.01.2025;4981 7670 4609 1962 ;03/27;Discover;86;5;0,5;0,5
RS00004960;;;26.01.2025;;;;23;30;3,0;2,5
RS00004961;365;Druff1848;26.01.2025;;;;83;37;0,8;0,5
RS00004962;368;GlückAuf;26.01.2025;4567 3453 4561 7491 417;07/29;VISA;90;2;1,0;0,0
RS00004963;;;26.01.2025;3449 9372 5422 381;11/26;Diners;115;36;4,5;0,5
RS00004964;397;;26.01.2025;;;;19;39;2,0;2,5
RS00004965;;;26.01.2025;;;;103;13;5,0;2,5
RS00004966;225;;26.01.2025;4655 9011 9120 9302 ;10/26;Mastercard;84;1;0,75;3,0
RS00004967;;;26.01.2025;4501 5696 9382 6;02/30;JCB;3;13;5,0;0,5
RS00004968;359;;26.01.2025;;;;39;25;0,8;1,0
RS00004969;154;;26.01.2025;4389 6171 7448 1507 508;02/31;VISA;35;25;1,0;2,5
RS00004970;;;26.01.2025;;;;61;29;8,0;1,5
RS00004971;;;26.01.2025;;;;97;36;9,0;0,5
RS00004972;;;26.01.2025;;;;31;8;2,0;2,5
RS00004973;293;;26.01.2025;4328 0649 3981 3062 ;01/34;American;39;31;0,8;2,0
RS00004974;;;26.01.2025;2305 1621 2523 0421 ;06/29;VISA;122;7;2,0;2,0
RS00004975;;;26.01.2025;2131 2195 2355 193;08/29;VISA;70;18;8,0;1,0
RS00004976;405;;26.01.2025;;;;108;1;8,0;0,5
RS00004977;159;GlückAuf;26.01.2025;;;;24;37;3,0;0,0
RS00004978;;;26.01.2025;;;;10;20;0,5;0,0
RS00004979;171;;26.01.2025;;;;9;14;3,0;1,0
RS00004980;;;26.01.2025;6304 2694 6079 ;07/32;Diners;97;39;9,0;3,0
RS00004981;340;Abendröte;26.01.2025;4882 5248 5623 1;02/35;Maestro;21;28;4,0;1,5
RS00004982;89;;26.01.2025;;;;4;45;5,0;1,5
RS00004983;;;26.01.2025;4401 4877 7889 7928 569;04/35;Mastercard;113;11;4,5;0,0
RS00004984;;;26.01.2025;4895 2185 6846 0659 363;10/31;VISA;106;20;7,0;2,0
RS00004985;;;26.01.2025;;;;81;16;2,0;1,5
RS00004986;;;26.01.2025;4478 8315 5574 0805 ;05/35;JCB;39;21;0,8;1,0
RS00004987;;;26.01.2025;5535 5794 0495 8627 ;01/30;Maestro;70;27;8,0;3,0
RS00004988;;;26.01.2025;;;;42;22;2,4;2,0
RS00004989;310;;26.01.2025;;;;6;26;7,0;2,0
RS00004990;;;26.01.2025;6011 9164 2420 2720 ;09/28;Maestro;40;14;1,0;2,5
RS00004991;;;26.01.2025;4140 5209 8583 4947 742;05/35;JCB;113;25;4,5;0,5
RS00004992;;;26.01.2025;;;;89;7;0,8;1,0
RS00004993;337;;26.01.2025;3054 1681 5607 25;11/31;VISA;12;31;4,0;0,0
RS00004994;196;;26.01.2025;3577 6722 3761 7256 ;08/33;Mastercard;15;11;4,5;1,0
RS00004995;249;;26.01.2025;5693 8247 0056 ;02/26;American;72;43;2,0;2,5
RS00004996;;;26.01.2025;3732 1746 3750 405;08/25;JCB;12;36;4,0;2,5
RS00004997;;;26.01.2025;2131 3996 9779 932;08/31;VISA;11;16;8,0;1,0
RS00004998;;;26.01.2025;;;;64;36;4,5;1,5
RS00004999;285;VolleRose;26.01.2025;6761 1290 5168 ;08/34;VISA;52;18;4,0;2,0
RS00005000;;;26.01.2025;4563 3362 4951 6822 310;12/28;JCB;107;24;8,0;3,0
RS00005001;;;26.01.2025;;;;82;21;5,0;2,5
RS00005002;212;;26.01.2025;;;;83;47;0,8;3,0
RS00005003;;;26.01.2025;3005 8654 5568 20;09/25;Discover;89;23;0,8;0,0
RS00005004;;;26.01.2025;;;;32;30;5,0;2,0
RS00005005;;;26.01.2025;;;;39;18;0,8;3,0
RS00005006;;;26.01.2025;3007 4348 9380 19;02/35;JCB;37;2;0,5;2,0
RS00005007;294;WochenendGLück;26.01.2025;4134 7946 3897 6;12/32;Mastercard;3;9;5,0;3,0
RS00005008;41;;26.01.2025;;;;81;3;2,0;1,0
RS00005009;;;26.01.2025;3597 1413 7242 6861 ;01/31;Discover;122;4;2,0;1,5
RS00005010;309;;26.01.2025;;;;27;8;2,0;0,0
RS00005011;;;26.01.2025;;;;39;5;0,8;1,0
RS00005012;;;26.01.2025;4939 3535 4129 0;10/25;Diners;80;41;4,0;1,0
RS00005013;242;WochenendGLück;26.01.2025;3414 3907 0730 237;10/29;VISA;86;42;0,5;2,5
RS00005014;;;26.01.2025;;;;72;27;2,0;1,5
RS00005015;185;GlückAuf;26.01.2025;4696 5991 1986 9829 925;07/26;Diners;108;34;8,0;0,5
RS00005016;45;Blaetterglueck;26.01.2025;;;;78;27;2,0;0,0
RS00005017;;;26.01.2025;;;;22;31;2,0;2,5
RS00005018;318;;26.01.2025;;;;42;19;2,4;2,5
RS00005019;127;Druff1848;26.01.2025;6759 4247 4247 ;07/32;VISA;29;6;1,5;2,0
RS00005020;392;;26.01.2025;2257 4002 3773 5038 ;05/26;JCB;90;40;1,0;1,5
RS00005021;;;26.01.2025;4382 3429 8588 3582 ;01/35;VISA;44;44;4,0;0,0
RS00005022;;;26.01.2025;3560 7301 4595 7724 ;04/28;Mastercard;29;32;1,5;3,0
RS00005023;;;26.01.2025;;;;101;44;2,0;2,0
RS00005024;;;26.01.2025;;;;108;49;8,0;2,0
RS00005025;30;;26.01.2025;3585 8827 7892 7531 ;02/35;Diners;43;10;2,3;3,0
RS00005026;;;26.01.2025;;;;73;4;3,0;1,5
RS00005027;293;;26.01.2025;;;;3;1;5,0;3,0
RS00005028;;;26.01.2025;;;;101;36;2,0;2,5
RS00005029;;;26.01.2025;;;;99;26;3,8;1,0
RS00005030;;;26.01.2025;1800 8845 2646 828;02/27;Maestro;94;14;4,0;0,0
RS00005031;182;;26.01.2025;;;;56;3;7,0;1,0
RS00005032;;;26.01.2025;;;;70;1;8,0;2,5
RS00005033;305;;26.01.2025;;;;28;30;2,0;2,5
RS00005034;296;Druff1848;26.01.2025;;;;17;45;3,5;1,0
RS00005035;286;;26.01.2025;;;;19;26;2,0;1,5
RS00005036;228;;26.01.2025;3571 8695 8559 2786 ;04/34;JCB;116;6;3,0;2,0
RS00005037;;;26.01.2025;3536 9610 8273 8667 ;06/31;VISA;34;10;0,75;2,0
RS00005038;;;26.01.2025;6011 8903 4789 5607 ;09/27;VISA;43;14;2,3;1,0
RS00005039;185;GlückAuf;26.01.2025;;;;90;3;1,0;2,0
RS00005040;60;WochenendGLück;26.01.2025;4013 6822 2699 9433 ;07/31;JCB;107;33;8,0;2,5
RS00005041;409;Abendröte;26.01.2025;4841 1602 4868 3689 073;09/30;American;55;32;5,0;0,5
RS00005042;77;VolleRose;26.01.2025;;;;15;41;4,5;1,0
RS00005043;150;;26.01.2025;6011 2299 6651 1544 ;06/34;Discover;43;1;2,3;0,0
RS00005044;;;26.01.2025;;;;115;6;4,5;3,0
RS00005045;;;26.01.2025;2284 4839 3496 5675 ;02/30;Mastercard;51;31;2,0;2,0
RS00005046;;;26.01.2025;;;;22;29;2,0;2,5
RS00005047;238;;26.01.2025;6761 6215 7231 ;11/32;VISA;95;40;2,0;2,0
RS00005048;;;26.01.2025;;;;68;39;6,0;1,0
RS00005049;150;;26.01.2025;4496 9683 2173 1474 ;10/31;VISA;70;15;8,0;3,0
RS00005050;;;26.01.2025;3746 8892 0203 635;04/28;JCB;71;7;4,0;0,0
RS00005051;;;26.01.2025;;;;52;21;4,0;0,0
RS00005052;;;26.01.2025;;;;103;5;5,0;2,0
RS00005053;187;Morgenstern;26.01.2025;4228 6592 6057 7;10/33;JCB;44;7;4,0;0,0
RS00005054;127;Druff1848;26.01.2025;3591 9588 8191 2669 ;10/27;JCB;22;28;2,0;2,0
RS00005055;;;26.01.2025;3457 2850 4264 250;12/28;JCB;33;10;0,8;2,5
RS00005056;;;26.01.2025;5292 9555 1797 0480 ;04/26;JCB;96;10;8,0;1,5
RS00005057;159;GlückAuf;26.01.2025;;;;30;3;4,0;1,0
RS00005058;295;;26.01.2025;3031 0667 6561 17;11/28;JCB;92;26;2,4;0,0
RS00005059;;;26.01.2025;;;;84;31;0,75;3,0
RS00005060;340;Abendröte;26.01.2025;;;;122;8;2,0;2,5
RS00005061;32;Blaetterglueck;26.01.2025;;;;33;40;0,8;1,0
RS00005062;;;26.01.2025;;;;122;48;2,0;3,0
RS00005063;410;;26.01.2025;;;;104;16;5,0;0,0
RS00005064;;;26.01.2025;;;;60;20;0,5;3,0
RS00005065;;;26.01.2025;4202 3312 7489 7526 ;08/25;Diners;94;38;4,0;1,0
RS00005066;;;26.01.2025;;;;64;2;4,5;2,5
RS00005067;12;VolleRose;26.01.2025;;;;8;2;8,0;0,0
RS00005068;;;26.01.2025;;;;84;47;0,75;1,0
RS00005069;19;Blaetterglueck;26.01.2025;3539 3056 3862 0374 ;05/34;VISA;112;39;4,0;1,5
RS00005070;;;26.01.2025;;;;82;45;5,0;0,5
RS00005071;;;26.01.2025;;;;14;6;4,5;0,0
RS00005072;;;26.01.2025;;;;90;8;1,0;1,5
RS00005073;139;;26.01.2025;3515 6505 3313 7083 ;11/26;Maestro;12;21;4,0;1,5
RS00005074;;;26.01.2025;;;;124;2;3,0;0,0
RS00005075;;;26.01.2025;;;;103;15;5,0;1,5
RS00005076;47;WochenendGLück;26.01.2025;3597 4493 7116 8503 ;10/26;VISA;108;48;8,0;1,0
RS00005077;;;26.01.2025;2253 9983 4357 3114 ;01/26;JCB;22;26;2,0;2,5
RS00005078;;;26.01.2025;;;;62;4;4,0;3,0
RS00005079;;;26.01.2025;3738 5360 7060 622;07/27;VISA;69;12;2,0;0,0
RS00005080;;;26.01.2025;;;;39;6;0,8;0,0
RS00005081;375;Druff1848;26.01.2025;4636 9671 6382 2;08/30;JCB;95;25;2,0;0,0
RS00005082;241;;26.01.2025;2257 8132 2889 9268 ;03/26;VISA;1;21;2,0;1,5
RS00005083;333;;26.01.2025;;;;117;31;3,5;1,0
RS00005084;;;26.01.2025;;;;80;16;4,0;0,5
RS00005085;291;Morgenstern;26.01.2025;;;;65;44;4,5;1,5
RS00005086;;;26.01.2025;;;;27;38;2,0;2,5
RS00005087;95;;26.01.2025;4231 3049 5416 1945 272;07/26;American;106;27;7,0;1,5
RS00005088;;;26.01.2025;;;;112;18;4,0;2,5
RS00005089;;;26.01.2025;;;;95;27;2,0;1,0
RS00005090;;;26.01.2025;;;;10;38;0,5;0,5
RS00005091;244;Druff1848;26.01.2025;3515 1184 6503 6517 ;07/26;Discover;50;48;5,6;2,5
RS00005092;272;;26.01.2025;5338 2002 8718 7288 ;03/29;VISA;52;33;4,0;2,5
RS00005093;;;26.01.2025;;;;93;2;2,3;2,0
RS00005094;;;26.01.2025;3560 1888 2722 3883 ;07/29;Mastercard;49;46;3,8;1,5
RS00005095;;;26.01.2025;2229 7485 4585 5749 ;12/30;VISA;11;9;8,0;0,5
RS00005096;;;26.01.2025;5259 1619 5412 5024 ;02/28;VISA;105;22;5,0;2,0
RS00005097;;;26.01.2025;;;;24;44;3,0;0,0
RS00005098;284;;26.01.2025;;;;33;9;0,8;0,5
RS00005099;;;26.01.2025;4797 1272 0949 5779 ;07/33;JCB;60;47;0,5;3,0
RS00005100;;;26.01.2025;4640 4509 3499 7532 ;11/29;Mastercard;73;16;3,0;1,5
RS00005101;141;;26.01.2025;4877 9341 6942 3995 ;01/33;JCB;76;11;4,0;0,5
RS00005102;;;26.01.2025;3562 7142 3477 9221 ;03/28;Discover;69;49;2,0;3,0
RS00005103;;;26.01.2025;;;;66;49;3,0;2,0
RS00005104;;;26.01.2025;1800 2912 2631 907;04/27;Diners;96;38;8,0;2,5
RS00005105;;;26.01.2025;;;;69;48;2,0;3,0
RS00005106;318;;26.01.2025;4241 8181 7819 3278 ;06/28;VISA;79;41;1,5;2,0
RS00005107;;;26.01.2025;5730 6607 1339 ;03/28;VISA;82;11;5,0;0,5
RS00005108;;;26.01.2025;;;;95;16;2,0;1,0
RS00005109;;;26.01.2025;;;;108;9;8,0;1,0
RS00005110;;;26.01.2025;;;;9;28;3,0;0,5
RS00005111;5;Morgenstern;26.01.2025;4548 2144 1040 3;06/29;Discover;70;45;8,0;3,0
RS00005112;;;26.01.2025;;;;26;36;4,0;2,0
RS00005113;;;26.01.2025;;;;65;16;4,5;3,0
RS00005114;;;26.01.2025;2238 0569 2992 9463 ;04/28;JCB;118;28;6,0;0,0
RS00005115;;;26.01.2025;4313 6469 0607 5803 ;04/35;JCB;104;28;5,0;3,0
RS00005116;2;;26.01.2025;3558 0144 1586 3704 ;06/30;VISA;124;36;3,0;2,5
RS00005117;6;;26.01.2025;;;;96;3;8,0;0,0
RS00005118;154;;26.01.2025;;;;33;4;0,8;2,0
RS00005119;;;26.01.2025;5760 8967 2017 ;04/28;VISA;7;32;8,0;2,0
RS00005120;;;26.01.2025;4754 4968 1694 3492 ;06/32;Maestro;14;18;4,5;2,0
RS00005121;408;;26.01.2025;3045 3708 8084 85;10/34;JCB;82;25;5,0;2,5
RS00005122;;;26.01.2025;3594 2600 0934 9206 ;03/29;Discover;59;35;3,0;0,5
RS00005123;;;26.01.2025;1800 1825 0946 153;10/30;VISA;88;16;0,5;0,0
RS00005124;;;26.01.2025;3730 6429 6115 830;08/29;VISA;99;30;3,8;0,0
RS00005125;338;Abendröte;26.01.2025;5020 1503 4049 ;04/27;VISA;100;27;5,6;1,0
RS00005126;;;26.01.2025;3556 4226 4620 4972 ;02/29;JCB;36;33;0,5;0,5
RS00005127;366;;26.01.2025;3555 1150 1205 5520 ;07/29;Mastercard;39;5;0,8;2,5
RS00005128;;;26.01.2025;;;;64;47;4,5;1,0
RS00005129;;;26.01.2025;;;;88;39;0,5;1,5
RS00005130;;;26.01.2025;;;;40;7;1,0;2,0
RS00005131;;;26.01.2025;;;;53;43;5,0;2,0
RS00005132;;;26.01.2025;2131 6682 2937 571;02/30;American;19;23;2,0;2,5
RS00005133;;;26.01.2025;3524 9242 3573 1223 ;07/33;Mastercard;120;22;8,0;3,0
RS00005134;;;26.01.2025;;;;58;17;8,0;1,0
RS00005135;133;GlückAuf;26.01.2025;;;;98;21;4,5;2,5
RS00005136;;;26.01.2025;;;;97;41;9,0;3,0
RS00005137;258;;26.01.2025;;;;35;47;1,0;0,0
RS00005138;305;;26.01.2025;;;;88;46;0,5;3,0
RS00005139;;;26.01.2025;;;;81;47;2,0;2,5
RS00005140;;;26.01.2025;;;;113;5;4,5;2,5
RS00005141;195;;26.01.2025;;;;109;9;3,0;1,5
RS00005142;;;26.01.2025;3551 6442 7063 2047 ;11/32;VISA;119;41;2,0;0,0
RS00005143;392;;26.01.2025;4680 2451 4720 0877 ;10/34;Maestro;45;21;2,0;2,5
RS00005144;;;26.01.2025;;;;14;27;4,5;0,5
RS00005145;;;26.01.2025;4315 3452 9350 5415 110;09/26;VISA;123;42;3,0;1,5
RS00005146;147;;26.01.2025;;;;80;40;4,0;0,0
RS00005147;;;26.01.2025;3592 5343 6983 1223 ;10/30;JCB;65;39;4,5;2,5
RS00005148;;;26.01.2025;;;;60;28;0,5;2,5
RS00005149;396;Abendröte;26.01.2025;;;;74;30;3,0;2,5
